city,num_restaurants
Westmalle,1
Westmeerbeek,1
Wetteren,8
Wevelgem,5
Wezembeek,1
Wezembeek-Oppem,2
Wijnegem,13
Willebroek,7
Wilrijk,20
Wilsele,2
Wingene,1
Woluwe Saint-Lambert,2
Woluwe saint lambert,1
Woluwe-Saint-Etienne,1
Woluwe-Saint-Lambert,21
Woluwe-Saint-Pierre,9
Woluwe-Sint-Lambrecht,1
Woluwé-Saint-Lambert,5
Woluwé-Saint-Pierre,4
Wolvertem,3
Wommelgem,3
Wondelgem,1
Wuustwezel,4
Zammel (Geel),1
Zandhoven,3
Zaventem,16
Zeebrugge,1
Zele,6
Zellik,1
Zelzate,7
Zemst,4
Zoerle-Porwijs,1
Zoersel,3
Zomergem,1
Zonhoven,7
Zottegem,6
Zoutleeuw,1
Zulte,3
Zutendaal,1
Zwevegem,2
Zwijnaarde,1
Zwijndrecht,2
