name,ratings,avg_price
Banh Mi Express,4.4,7.744230769230769
Banh Mi Express,4.8,8.604411764705883
Banjul Kitchen,4.6,4.704166666666667
Bar Gazet,4.4,5.884915254237288
Bar Nine,4.2,11.479999999999999
Bar-celona,4.8,16.0
Baracca,3.0,9.844827586206897
Baraka't Kacem,4.4,13.932575757575757
Barnaba,4.9,12.947368421052632
Barouche Diner,3.1,8.89391304347826
Barouche Kortemunt,2.8,9.455238095238096
Barouche Leuven,4.2,10.521176470588234
Basic Italian,3.6,8.702439024390245
Basic Italian - Sint-Pietersstation,3.7,7.913043478260869
Basic Italian I,3.8,6.998214285714285
Basic Italian II,3.6,7.097499999999999
Basilico,4.6,9.666666666666666
Baskent Averbode,4.5,10.200636942675159
Baskent Balen,4.1,10.338983050847459
Baskent Meerhout,4.9,10.33248730964467
Baskent Nijlen,3.7,12.087349397590362
Baskent Peer,4.2,10.95320197044335
Baskent Tessenderlo,3.7,10.092896174863387
Bavet,3.1,11.321276595744681
Bavet,3.3,11.752272727272727
Bavet,3.6,11.416216216216215
Bavet,3.8,11.488095238095237
Bavet,3.9,11.752272727272727
Bavet,4.0,11.452499999999999
Bavet,4.3,11.752272727272727
Bazi Boulangerie,4.3,2.335294117647059
Bbq Hema,4.4,11.12
Bbq Royal,4.4,5.286274509803922
Be Sushi Pokebowl,3.8,12.375
BeSushi Pokebowl,4.2,11.21743119266055
Beirut Palace,4.3,13.11304347826087
Beirut Plaza,4.7,19.046153846153846
Beiruti,3.5,9.073333333333334
Beiruti Xpress,3.3,8.477777777777778
Bel Kebab,4.6,9.636986301369863
Belchicken,3.3,9.687967479674796
Belchicken,3.4,9.59906882591093
Belchicken,3.5,9.667857142857143
Belchicken,3.9,9.498275862068965
Belchicken,4.0,9.368932038834952
Belchicken,4.1,9.425555555555555
Belchicken,4.3,9.324796747967481
Belchicken,4.7,9.581550387596899
Belchicken Leuven,3.9,9.418916666666666
Belchicken Lochristi,3.7,9.161322314049587
Belchicken Overpoortstraat,3.9,10.187623762376239
Belchicken Rooigemlaan,3.6,9.592032520325203
Belchicken Vrijdagsmarkt,3.8,9.658050847457629
Bella Ciaoo,4.6,10.454545454545455
Bella Italia,4.0,10.75
Bella Italia,4.3,18.284574468085108
Bella Italia,4.6,10.922680412371134
Bella Italia,5.0,11.995999999999999
Bella Pizza,4.0,10.645454545454545
Bella Rosa,4.3,10.543693693693692
Bella Vista,3.2,9.775510204081632
Bella Vita,4.3,12.838034682080925
Bella's,4.8,8.210714285714285
Ben's Burger,4.2,7.695918367346939
Benji's Luxury Pitta,4.6,7.90625
Benvenuto,4.7,10.02127659574468
Bereket Eethuis & Bakkerij,4.3,4.216532258064516
Best Fresh,4.4,4.49976
Best Grill,3.4,6.060784313725491
Best Grill,3.8,9.218959107806691
Best Grill Molenbeek,3.5,6.622147651006712
Best Kebab,3.3,10.403409090909092
Best of Kebap & Pizza Dender,4.2,8.298076923076923
BetoBe - Lebanese Street food,4.2,12.47037037037037
Better Than Hungry,4.2,8.12037037037037
Beyranet,4.8,16.365671641791046
Beyzade,4.0,10.151250000000001
Beïrut-Restaurant Libanais,4.3,12.602089552238807
Bia Mara,4.1,8.508571428571429
Bia Mara,4.3,10.134375
Big Bite,3.6,9.127235772357725
Big Bites,4.7,5.8
Big Guy Burger,4.5,6.833333333333333
Biggie Burgers,2.7,6.352
Bij Frituur LiTo,4.2,4.363414634146342
Bij Mia & Maria,4.5,5.174561403508772
Bij Sylvia & Wim,4.5,5.469565217391304
Bij de Griek,4.6,17.583333333333332
Binx,4.0,4.231932773109244
Bio Sushi,4.2,16.2824
Bistro Begijnenhof,4.6,12.1796875
Bistro Delivery,4.7,8.84920634920635
Bistro Flandria,4.3,9.43061224489796
Bite,4.9,10.215789473684211
Black Angus Burger Gourmet,3.0,9.256304347826088
Bless by Belinda,4.7,12.923076923076923
Blue Pearl,3.3,5.315068493150685
Bocata,3.8,3.867682926829268
Bocca,3.9,5.7140350877192985
Boccone,4.1,5.926829268292683
Bodega Gilles,4.1,13.666666666666666
Bodega Gust,4.0,13.071428571428571
Bodhi,4.7,8.970588235294118
Bodrum Palace,3.6,8.320114942528736
Boelekewis,4.9,11.645664739884394
BohoBowl,3.9,5.238095238095238
Bolifrit,4.8,3.955725190839695
Bollero,4.6,4.776953907815631
Bollywood Overijse,3.7,15.375
Bombay inn,4.7,10.552179487179487
Bonici pizza Burger,3.6,5.437623762376238
Bonito Sushi & Thai,4.5,13.936764705882354
Bonsai Sushi,4.4,13.528301886792454
Boo Boo Cakes,3.2,15.0
Bookbinders,4.5,15.840909090909092
Borgerholtse Frit,4.7,3.1319999999999997
Bosphore Grill,4.5,11.329545454545455
Bosphorus,3.9,10.158214285714285
Bosphorus,4.4,7.116528925619835
Boston Pizza,4.3,12.541975308641975
Boston Pizza,4.4,14.069651741293532
Boston Pizza,4.7,13.634653465346533
Boston Pizza & Burgers,4.2,11.814285714285715
Boston Pizza Liedekerke,4.1,12.628930817610064
Boucherie Wayez,4.8,10.818677248677249
Bouda's Wok,4.5,10.991525423728813
Boul Lauli Burger,4.1,15.03921568627451
Boulangerie Salam,4.1,2.0395348837209304
Bouwelse Pizzafoon,4.6,9.710280373831775
Bowls.be,4.7,6.682608695652173
Brasileirinho,3.1,4.239130434782608
Brasserie Byblos 1898,4.1,12.290697674418604
Brasserie Daneel's,4.5,18.37037037037037
Brasserie De Pijl,4.5,10.996825396825397
Brasserie De Stenen Molen,4.1,12.93
Brasserie De Waaslander,4.4,11.767768595041323
Brasserie De Witte Molen,3.5,13.662857142857142
Brasserie Foyer,4.8,11.227272727272727
Brasserie Gribaumont,4.6,14.1
Brasserie Heydenberg,4.3,19.101923076923075
Brasserie Keizershof,4.8,18.955555555555556
Brasserie Shammy's,4.2,9.75207100591716
Brasserie du Tennis,4.7,11.964705882352941
BreadPoint,4.4,5.387096774193548
Breadtaking,4.2,4.293410852713179
Break Point,4.5,5.00314465408805
Breughelhof Cafe Bistro,4.3,6.811458333333333
Bro's Burgers Mol,3.8,5.751132075471698
Bronzi Osteria,4.4,14.035714285714286
Broodjes Beleg & Co,4.4,4.208677685950414
Broodjes De passant,4.3,4.361290322580645
Broodjes Lena,4.7,4.759060402684564
Broodjescorner,3.9,8.251228070175438
Broodjesfabriek,3.6,5.080139372822299
Broodjeszaak 82*83,4.0,3.6814432989690724
Broodjeszaak Can,4.7,3.8047619047619046
Broodjeszaak De Vrijheid,5.0,5.032835820895523
Broodjeszaak Hope,2.5,2.9675000000000002
Broodlunch,4.3,6.669014084507042
Broodpunt,4.4,7.241558441558442
Brozen,4.4,11.358119658119659
Brugge Burger,4.0,14.912408759124087
Brugge Kebab,3.8,5.496739130434783
Brunch Corner,3.4,12.592753623188406
Brunch House,4.8,6.047058823529412
Bruno Foodcorner Brugge,4.3,5.748514851485149
Bruschetta Mia,4.7,16.865079365079364
Buddha House,4.1,16.174107142857142
Buenos Burgers,2.9,4.466964285714286
Bun's Burger,3.0,6.289285714285714
Buon Appetito,4.5,11.428427419354838
Burger Boutique by Bruno & Elise,4.4,7.397058823529412
Burger Factory,4.2,4.101923076923077
Burger Folie,4.2,13.222857142857142
Burger House,3.5,5.995238095238095
Burger House,4.1,6.13
Burger King,2.3,6.5795
Burger King,2.7,6.511818181818182
Burger King,2.9,6.381818181818182
Burger King,3.0,6.4223684210526315
Burger King,3.2,6.417391304347826
Burger Kofte,5.0,7.174509803921568
Burger Paradise,4.6,4.393220338983051
Burger Zone,4.4,7.974509803921569
Burger at Home,4.1,8.962307692307691
Burgerista,4.4,5.1788
Burgerlicious,4.4,7.301
Burgerpand,4.8,4.528125
Burgers & Fried Chicken,4.1,6.703278688524589
Burgerzone,3.1,7.6625
Burgerzone,4.0,8.0
Bursa Kebab,4.1,5.67741935483871
Butcher,3.9,16.12121212121212
Buzzy Snacks,4.3,3.832520325203252
"Bébé, chouchou et moi",4.5,12.506666666666666
Bô-Zin,4.4,10.632484076433121
C-Kitchen,3.6,12.6
CTR Chicken,3.6,9.918691588785046
Cadix Food,4.5,8.945901639344264
Caffè Batavia,4.5,9.435714285714285
Café De Revue - Hakuna Patata,4.1,3.8872093023255814
Cairo One,4.8,9.978497409326424
Cali,5.0,5.52
Call Pizza,4.3,13.18599033816425
Campus & Fratelli,4.4,9.200680272108844
Can Pizzeria,4.2,10.330615384615385
Can Snack,3.9,7.086363636363636
Canadian Burgers,3.4,8.665204081632654
Cannur Pizza Pasta Pitta BBQ,4.3,11.813266666666667
Capital 88,4.1,16.792168674698797
Cappadocia,4.1,9.658450704225352
Cappadocië,4.1,7.990909090909091
Captain John's Fish and Chips,3.9,11.348936170212765
Caribbean Food Village,4.6,12.683333333333334
Carlito's,4.3,16.392105263157895
Carpe Diem,3.9,13.214
Casa Gloria,4.4,6.559183673469387
Casa Mia,3.8,14.978282828282827
Casa Mia,4.1,12.190804597701149
Casa Pizza,4.3,13.266417910447762
Casa Pupella - Pizzeria Napoletana / Friterie,4.8,3.604494382022472
Casa di Mio,3.9,15.473333333333334
Casareccio,3.5,9.7
Casper,3.4,8.538735632183908
Casper,3.5,8.629090909090909
Casper,3.7,8.598470588235294
Casper,4.1,8.519506172839506
Castello Fish,4.9,9.23157894736842
Cauri Bar,3.6,7.865555555555556
Ceders van Libanon,4.6,6.90625
Centerken - Food & Drinks,4.5,4.0278625954198475
Centrum Kebap,3.4,11.075624999999999
Cesar Pizza Snack,3.8,8.315436241610739
Cesars,4.7,12.141954022988505
Chaba Thai,4.3,15.003603603603603
Chamas Tacos,2.8,8.650862068965518
Chamas Tacos,3.4,7.849324324324325
Chamas Tacos,3.7,6.2124999999999995
Chamas Tacos,3.9,8.245652173913044
Chamas Tacos,4.4,8.173809523809524
Chamas Tacos Debrouckère,3.5,7.55
Changal,3.9,9.5
Chaplin's Pizza,4.0,11.514583333333333
Chapo's Zuid en Noord,3.4,9.722222222222221
Charbel - Libanese specialiteiten,4.9,16.116666666666667
Chateau Pineau,4.8,11.355555555555556
Cheap Times Fast Food,4.4,5.108163265306123
Cheat Burgers,4.5,3.891511627906977
Cheekofte & Wraps,4.7,6.208088235294118
Chef Eethuis,4.4,9.6
Chef Kebab,4.9,5.427868852459016
Chef Sam,4.0,12.927272727272728
Chef Tielen,3.1,8.51010101010101
Cheff Kebab,3.9,11.640434782608697
Chen's Takeaway,4.6,10.912698412698413
Cherry Flower,4.6,12.086602870813397
Chez Bibo,4.2,10.427083333333334
Chez Da Fano,4.4,5.940579710144927
Chez Eline,5.0,14.6
Chez Fleur,3.3,15.144961240310078
Chez Giovanni,4.0,13.402298850574713
Chez Hassan,4.2,13.787234042553191
Chez Jacqueline Traiteur,4.5,5.105
Chez Kloé,4.0,15.590909090909092
Chez Sun Wok Sushi Teppanyaki,3.5,9.572916666666666
Chez Ve'ke,4.8,5.015139442231075
Chez Vincent,4.5,6.167123287671233
Chez Yu Jin,4.5,9.56283185840708
Chibiboba,5.0,5.949333333333334
Chick & Cheez,1.5,5.738636363636363
Chick 'n Dip,4.0,4.456164383561644
Chick 'n Dip,4.8,4.891176470588236
Chick'n Choice,3.6,10.3
Chicken Center,4.3,7.821063829787233
Chicken Crunch,4.8,7.044927536231884
Chicken Factory,4.4,8.763265306122449
Chicken House,4.1,5.107142857142857
Chicken Kings,4.1,7.653048780487804
Chicken Ky,4.3,8.546818181818182
Chicken Rock,4.1,8.934883720930232
Chicken Tok Tok,3.8,12.478947368421052
Chicken World Gent,4.8,8.156944444444443
Chifuri,3.5,6.485714285714286
Chifuri,4.2,7.904347826086956
Chikyy,5.0,6.9714285714285715
Chill's Corner,3.8,3.8600000000000003
Chilli Grill,4.0,10.019886363636363
China Express,4.2,16.914634146341463
China Fun,3.4,15.07515923566879
China Keuken,4.7,12.358571428571429
China Meal,4.0,14.169354838709678
China Place,4.4,18.006493506493506
China Service Catering,3.6,14.947916666666666
China Star,4.0,16.732758620689655
China Town,4.3,12.7256
Chinees Restaurant Greenfield II,4.5,15.284431137724551
Chinees Restaurant Peking,4.3,14.930827067669172
Chinees restaurant Chi,4.7,13.97483870967742
Chitir Chicken,3.4,9.658064516129032
Chitir Chicken,3.7,10.170731707317072
Chitir Chicken,4.0,9.200000000000001
Chitir Chicken,4.7,9.324369747899159
Choco Pitta,3.9,5.8188524590163935
Chokdee Thai Cuisine,4.2,18.9030534351145
Chulo,4.3,10.328125
Churros Valyser,5.0,4.7264
Ciao Ciao Pizzeria,4.1,6.4
Ciao Pizza,4.4,23.954545454545453
Cicek kebab,3.7,6.181818181818182
Cigkofte And Rolls,5.0,8.755555555555556
Cigkoftem,4.8,9.776363636363637
Cigkoftem Berchem,4.8,9.653846153846153
Ciky Sushi Bar,3.6,5.439024390243903
Cinnamon Curry,4.2,9.723563218390805
Ciona Pizzeria,4.2,9.05986842105263
Citron Vert,4.4,10.541935483870969
City Chicken,4.8,6.670967741935484
Ciz Bizz Grill,4.6,8.65625
Cizbiz Donerland,3.8,9.820421052631579
Clemente Pizza & Pasta,3.5,9.45959595959596
Cleopatra,3.6,10.794117647058824
Cocorico,4.9,7.670212765957447
Coffee Co.,4.8,4.638793103448276
Collina 2 Go,4.6,9.670588235294119
Comeback Spice of India,4.0,8.120454545454546
Comme chez Fleur,3.7,14.468047337278106
Comptoir du Ry,3.5,12.48840579710145
Cook Mazi,3.9,7.068796992481203
Corner City,4.3,14.119290322580644
Corner Kitchen,4.0,10.59375
Cosy Pasta,4.1,5.909090909090909
Couleur Safran,3.8,6.56461038961039
Couscous at Home,4.2,8.7046875
Croque 'n Roll,4.1,12.607843137254902
Croque 'n Roll,4.8,14.322222222222221
Crumulus,4.7,6.6127659574468085
Crée Ta Crêpe,3.3,3.924
Crêperie Jadi,2.5,4.0625
Cuisine Spéciale,4.7,14.067857142857143
Curry Masala,3.7,13.606306306306307
Curry Palace & Tandoor,3.8,14.631868131868131
Currychiwa,4.5,7.430434782608696
Curryosity,4.4,9.136363636363637
Cyprus Grieks,4.5,12.605128205128205
D'Amici,4.0,10.981355932203389
D'Ostendsche Baguette,5.0,5.728947368421053
D'entreprise,4.2,10.973684210526315
D-Afro Flavours,2.3,16.013157894736842
Da Adriano,3.9,9.761363636363637
Da Barone et Fils,3.0,10.861904761904762
Da Giuse,4.8,7.661363636363637
Da Mario,4.3,12.0
Da Maurizio,3.6,10.761904761904763
Da Momo,3.8,8.59322033898305
Da Pino - Fratelli D'Italia,4.3,17.207070707070706
Da Roberto Statensingel,4.3,12.259558823529412
Da Toni,4.2,14.642276422764228
Da Valentina,4.6,14.891891891891891
Daddy's Dim Sum,3.4,9.335365853658537
Daily Burger,4.2,9.36734693877551
Daily Burger Jodoigne,4.8,9.36734693877551
Daily Pasta,4.3,6.54390243902439
