restaurant_name,latitude,longitude,avg_price,ratings
Pita Sofra,51.17049,4.1440005,12.083333333333334,3.9
Eethuis Florya Neerpelt,51.2317153,5.4469011,12.071428571428571,3.9
Pizzaria Gunther,51.117996,4.656598,12.071428571428571,4.6
Pizza Efe Berlaar,51.0828962,4.6687013,12.0625,4.0
Stela,51.1046623,5.0021347,12.05,3.3
Best Kebab,51.232577,2.9159456,12.0,3.3
Can Snack,50.9429437,4.0288648,12.0,3.9
De Waterput,51.33266,4.9590822,12.0,3.9
Eethuis Istanbul,51.0320949,4.8327207,12.0,4.2
Euro Kebab-Pizza,51.027906,5.5321544,12.0,4.5
Fresca,50.8448432,3.6028256,12.0,4.3
Frituur Pitta Twee Deuren,50.9413006,3.6335992,12.0,3.8
Izmir Kebab,51.232292,2.914207,12.0,3.6
Karine Grembergen,51.0448154,4.1055125,12.0,4.4
Kebap - Pizza De Brug,0.0,0.0,12.0,5.0
Kebap Kursat,50.9787777,4.9792033,12.0,4.0
M84U,50.8068626,5.0969517,12.0,4.5
Mario's Pizza,51.2924252,4.4441251,12.0,3.9
Memo Pizza,50.9196292,3.8620404,12.0,3.9
Osman Kebab Pizzeria,50.817049,5.1770964,12.0,4.4
Pita Piramide,50.9379926,4.0319358,12.0,4.0
Pita Pyramide,50.8443904,3.6037331,12.0,4.0
Pita4you,0.0,0.0,12.0,4.4
Pitta & Grill ‘T Parkske,50.8456491,3.6096502,12.0,4.5
Pizza Bodrum,51.069962,4.5316614,12.0,4.1
Pizza Efe Westerlo,51.0875698,4.8717344,12.0,4.1
Pizza Grill Huis,50.9306343,4.7245528,12.0,4.6
Pizza Palace,51.145525,4.2987186,12.0,3.9
Pizzaria Vlam II,51.3706301,4.9941559,12.0,4.6
Snack Aydin Genk,50.9635393,5.500285,12.0,4.5
Snack Bodrum,50.84294,4.4083082,12.0,3.9
Snack Georges Henri,50.8437401,4.4126857,12.0,4.7
Snack Kursatto,50.7475772,3.6015994,12.0,4.1
Snack L'oppem,50.8594957,4.5141147,12.0,4.1
Snack-Grill Berchem,51.1976017,4.4242343,12.0,3.3
Urban pizza,51.0531394,3.7461081,12.0,3.7
Wow Pizza,51.303104,4.7355146,12.0,3.6
Huzur Pizzeria Kebab,51.1618789,4.9908608,11.95,3.2
La Monte Carlo City,51.2184284,4.4304207,11.95,4.2
Pizzeria Kebap Selin,50.8325241,5.1042698,11.944444444444445,4.9
Baskent Peer,51.1299453,5.4185639,11.928571428571429,4.2
Eethuis Taksim,50.8042765,5.5746671,11.9,4.1
La Monte Carlo,51.2308451,4.4063067,11.9,4.2
Loons Qebap,50.8026021,5.3490397,11.9,3.7
Pizza Deal,51.1643562,4.4998914,11.9,4.7
Pizza Sole Mio,50.878939,4.700268,11.9,2.5
Pizza Star,51.1211835,4.1964177,11.9,4.3
Q'bap Gent,51.049376,3.730604,11.9,4.0
Snack Tosi,51.0408567,3.7253756,11.9,4.4
Kaya,50.920294,4.756737,11.88888888888889,4.6
Chicken World Gent,51.0416463,3.7297433,11.85,4.8
Baskent Tessenderlo,51.0673327,5.0875676,11.833333333333334,3.7
Huzur Pizzeria Kebab,51.1447208,5.7423493,11.833333333333334,3.1
Karine Dendermonde,51.0290797,4.0986522,11.833333333333334,3.9
Ottoman Pizza & BBQ,51.06103,3.6932049,11.833333333333334,4.4
Restaurant Marmaris,51.1700383,4.3873492,11.833333333333334,4.1
Vero Napoli,51.1320362,4.4468262,11.833333333333334,4.0
Ali Baba,51.0185386,4.4824376,11.818181818181818,4.4
Eethuis Orient,50.8228108,5.1759431,11.8,4.0
Lara Eethuis,51.003218,4.1255906,11.8,4.4
LindelBaskent,51.1953055,5.4032187,11.8,3.9
Merdin 1,50.8841354,4.7230861,11.8,3.5
The Vend,51.207916,4.392708,11.8,4.4
"Efes Grillhouse, Kebab & Pizzeria",50.9798127,5.0549133,11.777777777777779,4.6
Ali Baba,50.77303,4.5392365,11.75,4.3
Baskent Meerhout,51.1210878,5.0539219,11.75,4.9
Centrum Kebap,50.9933773,5.3678495,11.75,3.4
Fansa,51.2187238,5.3134026,11.75,4.2
Gül Food,50.8479888,4.3099943,11.75,4.4
Istanbul Grill Huis,50.9909538,4.8407489,11.75,4.0
Napoli Pizza Grill,50.9083137,4.6756146,11.75,4.0
Pitta Alpay,51.1076122,3.9004134,11.75,4.5
Pizza & Kebab Zeebrugge,51.3131951,3.1876991,11.75,4.2
Pizza Milano,51.0994106,4.2343152,11.75,4.1
Venezia,51.46431,4.45796,11.75,4.3
Donerix,51.2489808,4.4543133,11.733333333333334,3.7
Pita Pizza Pyramide,51.38298,4.47518,11.725,3.6
Top Snack,51.161282,4.669973,11.722222222222221,4.3
Ton Ton Snack,51.0415591,3.72555,11.72,3.9
Baskent Averbode,51.028309,4.9815332,11.714285714285714,4.5
Pizza Roma Mechelen,51.03616,4.475636,11.7,3.4
Snack Twenty Six,50.8186283,4.3792999,11.68888888888889,3.0
Liman Grill House,50.998704,5.512514,11.666666666666666,4.6
Pizza Meet Point,51.0952496,4.5029904,11.633333333333335,3.9
Pizza Pita King's,50.8902312,3.0602099,11.625,3.8
Pizza Zaga,51.0702424,4.531321,11.625,4.3
Doy Doys,51.1968244,4.4580891,11.622222222222222,4.3
NewWay Leuven,50.8760583,4.7089882,11.6,4.0
Rozalin Kebab Pizza,51.351267,4.6441514,11.6,4.0
Snack Marmara,50.8536962,4.3882244,11.591666666666667,0.0
Baguette & Salad Bar,50.8779438,4.6987789,11.59,3.5
Eat-Point,50.7937035,5.2203537,11.583333333333334,4.0
Adak Kebab,51.250926,5.5421495,11.555555555555555,4.2
Amon,51.1162628,5.2592204,11.5,3.8
Efes Geetbets,50.8901089,5.1147702,11.5,4.5
Istanbul Snacks,50.9755102,5.4706466,11.5,4.4
Kebap Xpress,51.3219452,4.9401798,11.5,4.0
Pita Huis Blauwwater,51.2075136,4.4135132,11.5,4.4
Pitta Canan,51.0616385,3.700181,11.5,4.4
Pitta Murat,50.9438126,3.1247193,11.5,4.0
Pitta Pizza Ludwig,51.1325761,3.6796668,11.5,3.6
Pizza Corner,51.2561525,4.0899404,11.5,4.2
Pizza Pasta Nr1 City,51.2068362,4.3928489,11.5,4.2
Pizza Roma,50.8508582,2.8868742,11.5,2.6
Resto Simke,50.733166,5.2091265,11.5,3.7
Snack Aydin Ham,51.1045326,5.1772193,11.5,4.4
Snack Best Grill,50.9142631,4.1931411,11.5,3.7
Snack Dodo,51.0304194,3.8018376,11.5,3.6
Snack Dylan,50.8600219,4.4176894,11.5,4.8
Arabesque,51.2076757,4.465059,11.481818181818182,4.2
Uniq Kebab,51.02694,3.7218974,11.449999999999998,4.5
Kapadokya döner,51.229379,5.3068659,11.428571428571429,4.1
Lilse Kebap,51.2371943,4.8258901,11.428571428571429,3.9
Pizzeria Dilan,50.8836767,4.7197713,11.428571428571429,3.5
Pizza Istanbul,51.0956102,4.1426429,11.416666666666666,4.6
Indian tadka & Istanbul kebab,50.9896628,5.0502084,11.4,4.5
Saray,50.8006942,4.9563972,11.4,3.7
Turkische Food,50.852814,2.893423,11.4,2.2
Orient Diest,50.9800088,5.0445122,11.399999999999999,4.0
Pizza Pasta Nr1,51.1342628,4.4520796,11.379999999999999,3.8
