name,latitude,longitude
The Better Pizza Company,50.8488145,4.3561231
Emirdağ,50.85917,4.3780666
Toqqum Restaurant,50.8554669,4.3566464
Limor Pizzeria,50.8488716,4.370087
Magnum and Ben&Jerry's Store,50.8454779,4.3950031
Foodmaker,50.8483183,4.3565748
Dunkin' Donuts,50.8545204,4.3575088
Brasserie Byblos 1898,50.8418397,4.3844626
Smash.B,50.855233,4.396094
La Table du Winner's,50.8493573,4.3779633
Pizza Hoot,50.8756001,4.3913677
La Nuova Piazza,50.8556683,4.3979108
Laz Burger,50.8480426,4.3640088
Indian Foodism Lounge,50.8477258,4.3732137
Aux Saveurs D'Eden,50.8557188,4.3936543
Dunkin' Donuts,50.8455447,4.3571035
Chick'n Choice,50.8542665,4.3569439
Le Familial,50.863894,4.3326428
Street Kap,50.853887,4.3537965
Buono Buono Fatto in Casa,50.8463497,4.3818796
Adam Restaurant,50.8570046,4.3760302
Cup Pasta,50.8486241,4.3563846
Banh Mi Express,50.8486847,4.3696547
Délice l'Avenir,50.8430825,4.4099268
Los Cubas,50.8378417,4.3803446
Sushi Box,50.8395334,4.3732418
Les 4 Saisons,50.8593354,4.3705387
SuperBowl,50.8404194,4.3673864
Spicy Grill,50.8449884,4.3804499
Dim Yum,50.8292969,4.3724527
Thaï Moury,50.8544982,4.338262
ChezWawa Royal,50.8486631,4.3665933
Palermo Pizza,50.847758,4.3887577
Afro Luna,50.8482155,4.364873
Ayam Baghdad,50.8523294,4.3523913
Snack Merode,50.8386936,4.3977664
Hatay Kunefe Cankaya,50.8584464,4.3704256
Mundo Latino,50.8543184,4.3890065
Le Quai Gourmand,50.8630653,4.3511649
Essgo Grill,50.8310032,4.3906733
Le Pain Quotidien,50.8403972,4.4011408
The don tajine,50.8563228,4.3765691
Los Charros,50.8528525,4.3511783
Pitta Magic,50.8612862,4.3716419
Art's & Bagels,50.8417934,4.3839793
Le Parioli,50.8414076,4.3832748
Alba,50.8484592,4.3661571
Swagat,50.8577512,4.3540107
Tadim Kumpir & Libano,50.8543846,4.358291
Khanna,50.8523634,4.3869094
Taste of Indus,50.8488848,4.3535434
Les Délices de Bruno,50.8386567,4.3620743
TM Food Maker,50.8476979,4.356728
Le Sankaran,50.8549067,4.3563596
Ornina Syrian Sweets,50.8498888,4.3755381
Pizzeria Milano,50.8689998,4.3892963
Lala Restaurant,50.8637238,4.3670944
Tang's Kitchenette,50.835876,4.3875285
Inzia,50.8360073,4.3657237
Bread & BreakFast,50.8525193,4.3832087
Grillades Panios,50.8502978,4.3751426
Le Zinneke,50.8568237,4.3914099
Il Convivio,50.8543213,4.3606313
Wok Minute,50.8286951,4.3718573
Schievelavabo,50.8364623,4.3797896
Nigiri Roll,50.83762,4.361143
My Shawarma,50.8491525,4.3527734
Punjabi Village,50.845184,4.3897934
Snack Evere,50.8712543,4.3996881
Pizza & Pasta Ino,50.8510945,4.3772546
Yummy,50.8177881,4.3798149
Snack Araff,50.864184,4.3659068
TradiNatura,50.833332,4.3673353
Le Panier de Meiser,50.85504,4.3968463
O'Tacos,50.8425615,4.4068038
Kihap - Fried Chicken,50.8484942,4.3530934
Eric's Burger & Streetfood,50.8577828,4.3642117
Latypiq,50.840458,4.4006295
Afro Caraïbes - Le Colibri Méchant,50.836367,4.3657589
Caffè Batavia,50.85347,4.3535433
Le Palais des Délices,50.8494719,4.3748979
La Maison des Gourmands,50.8358074,4.366536
Cherry Flower,50.8468,4.417668
Céréales,50.835994,4.3682885
Snack Boniface,50.8361915,4.3656511
Friterie Dailly,50.8529716,4.3882698
Creppuccino,50.8368218,4.383235
Le Sacré Pain,50.830837,4.3734093
Fattouch,50.8379864,4.389904
Foodmaker,50.8405409,4.3687277
Snack Marmara,50.8536962,4.3882244
