delivery_area,avg_veg_pct,total_restaurants
Westerlo,0.059693046155817074,35
Zoerle-Parwijs,0.05969304615581706,35
Oevel,0.05969304615581706,35
Kluizen,0.0596780224650847,50
Ertvelde,0.0596780224650847,50
Zammel,0.059543368521351135,31
Bredene-Bad,0.059453413841586485,73
Lanklaar,0.05922075923023978,24
Wechelderzande,0.0591646173880772,23
Poederlee,0.0591646173880772,23
Deinze,0.05909628997941867,29
Noorderwijk,0.05869945719283161,31
Morkhoven,0.05869945719283161,31
Dessel,0.058699118139053263,20
Tongerlo,0.05867838910190297,49
Ostend,0.0581490034492702,93
Veltem-Beisem,0.05808865897277483,161
Veltem,0.05808865897277483,161
Petegem-aan-de-Leie,0.057818734527952116,26
Wiekevorst,0.057724769177449474,34
Itegem,0.057724769177449474,34
Tielen,0.05754692108689881,25
Lichtaart,0.05754692108689881,25
Kasterlee,0.05754692108689881,25
Lille,0.05754117583865815,24
Gierle,0.05754117583865815,24
Diepenbeek,0.057539756708536165,49
Mechelen,0.05743148304591609,137
Tielt,0.057344370138602836,26
Meeswijk,0.05729314214377567,26
Leut,0.05729314214377567,26
Eisden,0.05729314214377567,26
Herentals,0.0572485347383777,32
Nokere,0.05704551620999978,11
Kruisem,0.05695797350732255,20
Ouwegem,0.056801695188924854,11
Huise,0.056801695188924854,11
Sint-Jozef-Rijkevorsel,0.056797312110803855,14
Rijkevorsel,0.056797312110803855,14
Olmen,0.05673226241573252,20
Sint-Jozef-Olen,0.05671974639001638,31
Onze-Lieve-Vrouw-Olen,0.05671974639001638,31
Olen,0.05671974639001638,31
Vucht,0.05653744850540906,27
Korbeek-Lo,0.05648933713496529,132
Sint-Katelijne-Waver,0.05641126857640381,104
Bierbeek,0.05628257122081677,132
Retie,0.05627935227610871,16
Massemen,0.056181468098664165,32
Opvelp,0.05617839908086409,131
Lovenjoel,0.05617839908086409,131
Meerhout,0.05613495487354944,27
Bret,0.05574252948160096,54
Sint-Lambrechts-Herk,0.05567546777912919,67
Winterslag,0.05550632610631718,55
Genk,0.055339376076666336,55
Leffinge,0.05531212043993006,23
Zonhoven,0.055279031188841726,54
Booischot,0.05523248762713615,43
Rijmenam,0.05522636057302612,90
Westrem,0.05517164006104231,33
Bonheiden,0.055140298010607915,90
Westmeerbeek,0.05491604625665585,24
Hulshout,0.05491604625665585,24
Houtvenne,0.05491604625665585,24
Hasselt,0.054909569072764564,71
Tiegem,0.05469232418980154,9
Kaster,0.05469232418980154,9
Maasmechelen,0.054676551618903876,27
Scheldewindeke,0.054663226961861905,25
Oosterzele,0.054663226961861905,25
Moortsele,0.054663226961861905,25
Landskouter,0.054663226961861905,25
Gijzenzele,0.054663226961861905,25
Balegem,0.054663226961861905,25
Oud-Heverlee,0.054566912453930055,84
Sint-Pieters-Rode,0.05454476674541961,99
Kwaadmechelen,0.0545133330274652,28
Sint-Joris,0.05442103340150195,17
Oedelem,0.05442103340150195,17
Beernem,0.05442103340150195,17
Ardooie,0.054406862469146444,14
Oostham,0.05427308823961819,27
Lozer,0.05420470554901216,13
Holsbeek,0.0541398838982792,104
Ursel,0.05410395412414272,9
Knesselare,0.05410395412414272,9
Ramsel,0.05406019349689295,28
Herselt,0.05406019349689295,28
Balen,0.053059522430698954,30
Mol,0.05294341096772287,54
Herenthout,0.05281850368903548,31
Heist-op-den-Berg,0.05271389793004849,38
Hallaar,0.05271389793004849,38
Watervliet,0.05263157894736842,1
Waterland-Oudeman,0.05263157894736842,1
Zevekote,0.05224664002553599,23
Snaaskerke,0.05224664002553599,23
Moere,0.05224664002553599,23
